{'01044099999': -10.0, '02293099999': -27.6}
         384086 function calls (378509 primitive calls) in 4.142 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       39    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       80    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
        2    0.000    0.000    0.001    0.000 socks.py:1(<module>)
      584    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        2    0.000    0.000    0.001    0.000 parser.py:59(parsestr)
     2164    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
        2    0.000    0.000    0.001    0.000 parser.py:41(parse)
        2    0.000    0.000    0.001    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
      270    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.001    0.000 models.py:352(prepare)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
      469    0.000    0.000    0.001    0.000 sre_compile.py:447(_simple)
        2    0.000    0.000    0.001    0.000 adapters.py:333(get_connection)
      135    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
      159    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1245    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
     2342    0.001    0.000    0.001    0.000 client.py:440(isclosed)
     1881    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2882    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     2693    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
2982/2914    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      411    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        6    0.000    0.000    0.001    0.000 url.py:333(parse_url)
        2    0.000    0.000    0.001    0.000 connection.py:231(request)
      922    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 _internal_utils.py:1(<module>)
     1383    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
        2    0.000    0.000    0.001    0.000 poolmanager.py:287(connection_from_url)
     3632    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.001    0.000 feedparser.py:173(feed)
     1169    0.001    0.000    0.001    0.000 response.py:398(_decode)
      180    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      223    0.000    0.000    0.001    0.000 enum.py:678(__new__)
        2    0.000    0.000    0.001    0.000 client.py:1279(request)
       17    0.000    0.000    0.001    0.000 enum.py:222(<setcomp>)
        2    0.000    0.000    0.001    0.000 client.py:1284(_send_request)
        4    0.000    0.000    0.001    0.000 feedparser.py:178(_call_parse)
        2    0.000    0.000    0.001    0.000 sessions.py:749(merge_environment_settings)
     5410    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      181    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.001    0.001 csv.py:1(<module>)
      188    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
       22    0.000    0.000    0.001    0.000 enum.py:980(__or__)
