{'01044099999': -10.0, '02293099999': -27.6}
         311973 function calls (306458 primitive calls) in 0.273 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      167    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
      521    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
        1    0.000    0.000    0.000    0.000 encoders.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
      340    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       12    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      121    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
       24    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      364    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      261    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      363    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      366    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.000    0.000 retry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:183(_TLSAlertType)
      419    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      365    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
     2100    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       44    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
       35    0.000    0.000    0.000    0.000 typing.py:146(_type_check)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1272(__init__)
       39    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      310    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
